Average Variability,Weekday,Region,Timeslot,Avg_Traffic
1.755167359,5,3,0,519.6923077
2.233562413,5,3,2,1966.6153846
1.98220367,5,3,3,1744.9230769
2.440364626,5,3,4,1585.5384616
1.9810373680000002,5,3,5,1473.2307692
1.6354514409999998,5,3,1,749.5384614999999
1.341486083,1,3,0,355.5384616
2.113308255,1,3,2,1873.2307693
1.474303421,1,3,3,1702.4615384
2.550986689,1,3,4,1432.6153846000002
1.2638308520000001,1,3,5,878.4615385
1.584505069,1,3,1,696.4615385
2.2949164090000003,6,3,0,768.6153846
2.8413008339999997,6,3,2,1856.5
2.215906994,6,3,3,1624.8333333
2.7640260889999997,6,3,4,1537.3333334000004
2.062701367,6,3,5,1594.3076922999999
1.9860651530000002,6,3,1,278.66666669999995
2.180086871,7,3,0,897.0
1.944152191,7,3,2,1344.1538461
1.226914149,7,3,3,1199.0769231
2.132639052,7,3,4,1177.3846154
1.903391553,7,3,5,888.3076922999999
0.894003907,7,3,1,207.53846154000001
1.239561593,4,3,0,344.0
1.897443655,4,3,2,2620.153846
1.687493139,4,3,3,2190.3076922
1.590556333,4,3,4,1886.9230769
1.9528849730000002,4,3,5,1314.1538461
1.788232651,4,3,1,1166.1538461999999
1.485838861,2,3,0,305.6923077
1.6169436640000001,2,3,2,2524.923077
1.4209540090000001,2,3,3,1973.2307696000003
2.0248002030000003,2,3,4,1595.2307692999998
2.352054915,2,3,5,1011.3846154
1.7777841230000002,2,3,1,1044.9230769
1.5666623,3,3,0,287.0769231
2.358307992,3,3,2,2819.846154
1.6242396380000002,3,3,3,2356.0
1.308819887,3,3,4,1834.0
1.89628841,3,3,5,1139.6923077
1.493431603,3,3,1,1227.3846154
2.301203128,5,1,0,41.709401709999995
1.947449595,5,1,2,183.0
3.0994195710000003,5,1,3,123.98717948000001
2.1648938909999997,5,1,4,93.66666667
2.82294801,5,1,5,88.0
3.3198549839999996,5,1,1,33.84615384
2.36330265,1,1,0,8.828282829
2.008756314,1,1,2,163.53846154000001
1.926051838,1,1,3,98.61538462
2.4896673430000003,1,1,4,71.23076922999999
2.5650940859999998,1,1,5,34.92307693
2.037463828,1,1,1,28.897435897
1.9306207880000001,6,1,0,48.16666667
2.551135489,6,1,2,261.5
2.457316424,6,1,3,128.0
2.479193888,6,1,4,92.33333334
2.642181727,6,1,5,122.38461538
2.175461208,6,1,1,16.233333332999997
2.39527005,7,1,0,73.33333333
2.506123717,7,1,2,155.53846154000001
2.42100895,7,1,3,55.53846154
2.4157578440000003,7,1,4,35.5
2.897065205,7,1,5,23.230769227
2.9411423439999997,7,1,1,13.133333333
1.865036746,4,1,0,14.0
1.665428685,4,1,2,193.84615385
2.007448887,4,1,3,148.92307692999998
2.7017713089999997,4,1,4,115.38461539
2.615984122,4,1,5,67.69230769
2.16878617,4,1,1,52.0
2.466100778,2,1,0,8.923076923
1.628076861,2,1,2,175.84615384
2.231656234,2,1,3,119.69230769
2.548199566,2,1,4,84.15384614999999
2.537200574,2,1,5,44.46153846
2.269405222,2,1,1,41.84615384
1.909129189,3,1,0,12.166666667000001
1.620563309,3,1,2,198.92307695
1.383169085,3,1,3,146.0
2.256046502,3,1,4,108.15384614999999
1.912565809,3,1,5,53.23076923
1.971086395,3,1,1,52.0
2.648325636,5,2,0,514.3076923000001
2.286111395,5,2,2,1921.2307688
2.2742826000000003,5,2,3,2186.1538466
2.550390482,5,2,4,1293.0769231
2.300756462,5,2,5,1039.6923077
2.209830031,5,2,1,962.6153846
2.137001361,1,2,0,169.53846152
1.919349736,1,2,2,1663.8461538000001
1.892523489,1,2,3,1888.4615382000002
2.465536315,1,2,4,1229.8461538000001
2.551542048,1,2,5,585.2307692
2.524936647,1,2,1,827.5384616
2.239016351,6,2,0,704.6153846
2.435239246,6,2,2,1225.8717947999999
2.452414711,6,2,3,1590.8333332999998
1.965173805,6,2,4,1105.8717947999999
2.29306648,6,2,5,1194.2692308
2.498529501,6,2,1,405.5
2.573705876,7,2,0,805.8461539
2.1139850140000003,7,2,2,797.5384615999999
2.2741085780000003,7,2,3,822.6153846
2.416143344,7,2,4,589.5384615
2.041179463,7,2,5,444.1538461
1.994702746,7,2,1,337.6538462
1.67618277,4,2,0,268.46153842999996
1.749098417,4,2,2,2433.230769
2.19125728,4,2,3,2786.307692
2.64565459,4,2,4,1874.3076923999997
2.40877996,4,2,5,1069.3846154
2.19798173,4,2,1,1453.5384615
2.300672535,2,2,0,171.84615388
1.60703109,2,2,2,2122.4615382
1.936801215,2,2,3,2336.769231
2.4599701990000002,2,2,4,1552.6153845999997
2.4136282319999998,2,2,5,783.8461539
2.321415413,2,2,1,1262.9230769
2.441133941,3,2,0,244.46153842999996
1.948293291,3,2,2,2400.923077
2.000780298,3,2,3,2642.6153839999997
1.827843672,3,2,4,1718.1538461999999
2.351151156,3,2,5,895.8461539
2.32440061,3,2,1,1413.8461538
2.60498359,5,0,0,211.84615385
1.747057151,5,0,2,654.9230769000001
1.996392004,5,0,3,690.1538462
2.343478839,5,0,4,574.3076923
1.94281604,5,0,5,478.9230769999999
2.763457158,5,0,1,214.92307695000005
1.862141344,1,0,0,52.61538462
1.659727791,1,0,2,524.4615384
2.106127733,1,0,3,542.0
2.045524011,1,0,4,433.2307693
2.417890955,1,0,5,208.46153848
2.384680246,1,0,1,208.76923081999996
2.139017161,6,0,0,261.64102560000003
2.804047024,6,0,2,743.0
2.062591953,6,0,3,779.0
2.332157251,6,0,4,691.1666666
2.134075315,6,0,5,662.025641
1.620921267,6,0,1,79.5
2.501811325,7,0,0,370.03846150000004
2.19836629,7,0,2,446.0
2.254179262,7,0,3,387.38461540000003
1.872408565,7,0,4,296.76923079999995
2.044406994,7,0,5,180.46153849
2.087760536,7,0,1,50.88461538
2.037993239,4,0,0,69.84615384
1.8377380540000001,4,0,2,715.8461538
2.1837785380000003,4,0,3,781.8461539
1.973341119,4,0,4,706.1538462
2.4097299999999997,4,0,5,410.0
2.062502386,4,0,1,311.8461539
2.017674289,2,0,0,47.23076923
1.851895875,2,0,2,581.5384615
2.1899977880000003,2,0,3,602.9230769000001
2.131143898,2,0,4,506.30769230000004
2.1103199630000002,2,0,5,261.84615386999997
2.414604452,2,0,1,264.30769234
2.167367358,3,0,0,75.07692308
1.812369269,3,0,2,645.5384615
1.5749266080000002,3,0,3,720.7692307
1.63836188,3,0,4,600.1538462
2.107700384,3,0,5,319.0769231
2.338854178,3,0,1,290.92307696
1.9145775109999998,5,4,0,1297.0769231
1.4694363119999998,5,4,2,1502.9230769
2.260356924,5,4,3,2131.2307690000002
2.067824099,5,4,4,1704.3076922999999
2.3647315669999998,5,4,5,1889.076923
1.942476315,5,4,1,1576.1538460000002
2.170592047,1,4,0,411.2307693
1.493228079,1,4,2,1240.7692308
1.771184981,1,4,3,1521.8461538000001
2.272823491,1,4,4,1127.8461538000001
2.542778421,1,4,5,709.8461537999999
2.317632146,1,4,1,1312.3076922999999
2.004602984,6,4,0,2413.2307690000002
2.662167516,6,4,2,1494.7692308
2.1400787930000003,6,4,3,2092.153846
2.275086588,6,4,4,1799.3461538
2.249433677,6,4,5,2332.923077
1.7735322,6,4,1,606.4871794999999
1.8189083380000002,7,4,0,3054.615385
2.176887176,7,4,2,1162.6153846
1.834285238,7,4,3,1230.6153846
1.937396963,7,4,4,932.4615385000001
1.827901578,7,4,5,778.3076924
2.298333694,7,4,1,426.4615384
1.855094561,4,4,0,511.38461530000006
1.5805745740000001,4,4,2,1667.6923077000001
1.735834088,4,4,3,2267.692308
2.1171237030000003,4,4,4,1980.7692308
2.000950369,4,4,5,1639.5384615
1.3980123759999998,4,4,1,1891.3846158000001
1.66191011,2,4,0,328.7692308
1.828315799,2,4,2,1392.1538461
1.894836714,2,4,3,1777.2307692
2.213222931,2,4,4,1374.3076922999999
1.934229824,2,4,5,913.0769230999999
1.986900027,2,4,1,1716.6153846
1.886475865,3,4,0,439.23076929999996
1.919360486,3,4,2,1589.2307692
1.6989548280000002,3,4,3,2130.3076922
1.44473235,3,4,4,1697.6923077000001
1.974888899,3,4,5,1138.7692308
1.554777747,3,4,1,1856.0000002000002
