,Weekday,Hour,Region,Avg_Traffic
0,1,0,0,34.76923077
1,1,0,1,5.272727273
2,1,0,2,110.6153846
3,1,0,3,217.3846154
4,1,0,4,236.7692308
5,1,1,0,17.84615385
6,1,1,1,3.555555556
7,1,1,2,58.92307692
8,1,1,3,138.1538462
9,1,1,4,174.4615385
10,1,2,0,9.692307692
11,1,2,1,3.142857143
12,1,2,2,47.84615385
13,1,2,3,82.92307692
14,1,2,4,121.3846154
15,1,3,0,6.363636364
16,1,3,1,3.5
17,1,3,2,23.07692308
18,1,3,3,31.53846154
19,1,3,4,54
20,1,4,0,5.846153846
21,1,4,1,4.666666667
22,1,4,2,22.46153846
23,1,4,3,24.46153846
24,1,4,4,46.15384615
25,1,5,0,12.61538462
26,1,5,1,4.857142857
27,1,5,2,45.23076923
28,1,5,3,37.38461538
29,1,5,4,79.38461538
30,1,6,0,29.53846154
31,1,6,1,5.2
32,1,6,2,121.8461538
33,1,6,3,83.23076923
34,1,6,4,179.2307692
35,1,7,0,70.61538462
36,1,7,1,9.666666667
37,1,7,2,317.3846154
38,1,7,3,238.3076923
39,1,7,4,484
40,1,8,0,138.1538462
41,1,8,1,19.23076923
42,1,8,2,510.1538462
43,1,8,3,458.1538462
44,1,8,4,828.3076923
45,1,9,0,162.7692308
46,1,9,1,30.15384615
47,1,9,2,619.8461538
48,1,9,3,595.0769231
49,1,9,4,843.0769231
50,1,10,0,174.7692308
51,1,10,1,41.83333333
52,1,10,2,653.2307692
53,1,10,3,701.8461538
54,1,10,4,661.2307692
55,1,11,0,206.9230769
56,1,11,1,46.61538462
57,1,11,2,782.9230769
58,1,11,3,870
59,1,11,4,595.3846154
60,1,12,0,217.8461538
61,1,12,1,64.92307692
62,1,12,2,852.7692308
63,1,12,3,897.3846154
64,1,12,4,618.1538462
65,1,13,0,228.4615385
66,1,13,1,66.76923077
67,1,13,2,878.1538462
68,1,13,3,992.9230769
69,1,13,4,614.3076923
70,1,14,0,241.5384615
71,1,14,1,77.07692308
72,1,14,2,848
73,1,14,3,969.8461538
74,1,14,4,612.9230769
75,1,15,0,256.9230769
76,1,15,1,87.53846154
77,1,15,2,797.5384615
78,1,15,3,950.1538462
79,1,15,4,599.5384615
80,1,16,0,251.5384615
81,1,16,1,79.84615385
82,1,16,2,747.5384615
83,1,16,3,946.7692308
84,1,16,4,567.3846154
85,1,17,0,272.9230769
86,1,17,1,83.69230769
87,1,17,2,916.3076923
88,1,17,3,926.4615385
89,1,17,4,673.3846154
90,1,18,0,286.4615385
91,1,18,1,57.07692308
92,1,18,2,1038.307692
93,1,18,3,932.6153846
94,1,18,4,813.2307692
95,1,19,0,255.5384615
96,1,19,1,41.53846154
97,1,19,2,850.1538462
98,1,19,3,769.8461538
99,1,19,4,708.6153846
100,1,20,0,218.4615385
101,1,20,1,37.84615385
102,1,20,2,684.6153846
103,1,20,3,717.2307692
104,1,20,4,586.3076923
105,1,21,0,214.7692308
106,1,21,1,33.38461538
107,1,21,2,545.2307692
108,1,21,3,715.3846154
109,1,21,4,541.5384615
110,1,22,0,143.3846154
111,1,22,1,24.61538462
112,1,22,2,373.8461538
113,1,22,3,560.4615385
114,1,22,4,429.8461538
115,1,23,0,65.07692308
116,1,23,1,10.30769231
117,1,23,2,211.3846154
118,1,23,3,318
119,1,23,4,280
120,2,0,0,32.15384615
121,2,0,1,4.923076923
122,2,0,2,114.4615385
123,2,0,3,187.6923077
124,2,0,4,200.3076923
125,2,1,0,15.07692308
126,2,1,1,4
127,2,1,2,57.38461538
128,2,1,3,118
129,2,1,4,128.4615385
130,2,2,0,9.333333333
131,2,2,1,3.142857143
132,2,2,2,40
133,2,2,3,49.07692308
134,2,2,4,77.84615385
135,2,3,0,5.090909091
136,2,3,1,2.5
137,2,3,2,15.07692308
138,2,3,3,20.92307692
139,2,3,4,29.07692308
140,2,4,0,6
141,2,4,1,2
142,2,4,2,12.30769231
143,2,4,3,22.15384615
144,2,4,4,34.30769231
145,2,5,0,10.16666667
146,2,5,1,2
147,2,5,2,37.23076923
