,Avg_Traffic,Hour,Region,Weekday
0,4363.774321264071,0,0,1
1,4041.983828546775,0,1,1
2,3982.7427515843247,0,2,1
3,4259.828988594854,0,3,1
4,3557.3687751133216,0,4,1
5,3818.673997458509,0,5,1
6,3817.6088462622934,0,6,1
7,4432.315080963248,0,7,1
8,4169.476987439361,0,8,1
9,4505.368990593308,0,9,1
10,3874.482660837332,0,10,1
11,4250.063712828606,0,11,1
12,3835.7145137351463,0,12,1
13,3956.76550241328,0,13,1
14,4170.23983358316,0,14,1
15,4182.214172947754,0,15,1
16,3307.679995731187,0,16,1
17,3764.155748530794,0,17,1
18,4231.788586967834,0,18,1
19,4434.951475664001,0,19,1
20,4336.207424994275,0,20,1
21,3765.520491370232,0,21,1
22,3707.56164697034,0,22,1
23,3995.440126036692,0,23,1
24,3711.3536371060386,1,0,1
25,3729.5304290568324,1,1,1
26,4142.414901393128,1,2,1
27,3634.6504354923545,1,3,1
28,3542.188748418209,1,4,1
29,4136.266318847176,1,5,1
30,3979.066991594372,1,6,1
31,4280.4021826660955,1,7,1
32,4077.314158297768,1,8,1
33,3992.0468203631226,1,9,1
34,4307.153165475097,1,10,1
35,3623.261582043826,1,11,1
36,4794.4228100871305,1,12,1
37,4066.778940659377,1,13,1
38,4024.46668046125,1,14,1
39,3695.895706234642,1,15,1
40,3687.927327200159,1,16,1
41,4425.796209112616,1,17,1
42,3453.035957907716,1,18,1
43,4035.409035385466,1,19,1
44,4395.5731107899155,1,20,1
45,4416.258771516705,1,21,1
46,4418.1194645110245,1,22,1
47,4398.284085860137,1,23,1
48,4408.991817880527,2,0,1
49,3425.588643540908,2,1,1
50,3695.169927027307,2,2,1
51,4179.6535221307995,2,3,1
52,3936.486177083133,2,4,1
53,4095.91281451318,2,5,1
54,3558.2913362067616,2,6,1
55,4106.671527784341,2,7,1
56,3908.259189892023,2,8,1
57,3461.626054570999,2,9,1
58,3723.8164426869225,2,10,1
59,4038.4777522907407,2,11,1
60,4193.326986196428,2,12,1
61,3879.051674221825,2,13,1
62,3525.1097221289024,2,14,1
63,4200.218862963165,2,15,1
64,3814.084932858712,2,16,1
65,3826.238165863354,2,17,1
66,4399.299205803454,2,18,1
67,3728.1119458183866,2,19,1
68,4077.2103547350603,2,20,1
69,4408.736997922971,2,21,1
70,4166.143241191588,2,22,1
71,4680.300569046382,2,23,1
72,4223.201605606806,3,0,1
73,4090.5677019785876,3,1,1
74,3829.5503300327846,3,2,1
75,4244.692706081029,3,3,1
76,4010.9438419413045,3,4,1
77,3518.5827174960154,3,5,1
78,3931.484516655643,3,6,1
79,4286.2908022786,3,7,1
80,4169.966334028847,3,8,1
81,4035.881013234647,3,9,1
82,4341.281895910852,3,10,1
83,4278.316765187626,3,11,1
84,4272.681909360877,3,12,1
85,4259.914464438245,3,13,1
86,3910.547867084146,3,14,1
87,4263.918659630378,3,15,1
88,3510.1638787112065,3,16,1
89,3933.9231825784886,3,17,1
90,3836.482190282387,3,18,1
91,3979.145613207417,3,19,1
92,3647.496103809444,3,20,1
93,4680.572269795521,3,21,1
94,4374.811675548794,3,22,1
95,4224.012732152055,3,23,1
96,4121.84760514772,4,0,1
97,3833.041714975298,4,1,1
98,4085.472940868356,4,2,1
99,4435.264024171561,4,3,1
100,4358.0697657701,4,4,1
101,3754.302726345632,4,5,1
102,3546.6614857495783,4,6,1
103,3916.2331163054987,4,7,1
104,3530.0440266682394,4,8,1
105,3121.812772880436,4,9,1
106,4015.335523368816,4,10,1
107,4044.1733942137166,4,11,1
108,4065.4619287051064,4,12,1
109,3978.1210139603163,4,13,1
110,4402.745778328844,4,14,1
111,4017.4540180473464,4,15,1
112,3766.203499501732,4,16,1
113,3437.227589197706,4,17,1
114,4380.003766782749,4,18,1
115,4276.326864098495,4,19,1
116,4306.089050448177,4,20,1
117,3890.76746119028,4,21,1
118,4201.713699752866,4,22,1
119,3665.73394858272,4,23,1
120,3836.0394882777814,5,0,1
121,4242.154147101643,5,1,1
122,3652.7485802372285,5,2,1
123,4389.341974161221,5,3,1
124,4236.660904482679,5,4,1
125,3580.3924536991244,5,5,1
126,3754.014915964704,5,6,1
127,4064.0222467175536,5,7,1
128,4170.931178284375,5,8,1
129,3834.0017652694164,5,9,1
130,3884.137832393078,5,10,1
131,4361.17317512988,5,11,1
132,3544.3093169482922,5,12,1
133,3470.08043730024,5,13,1
134,3962.220219688095,5,14,1
135,4491.3509859044725,5,15,1
136,3725.8375317772893,5,16,1
137,3919.412719542379,5,17,1
138,3754.9133870328387,5,18,1
139,4297.796532828208,5,19,1
140,4207.132057335362,5,20,1
141,4170.991178706007,5,21,1
142,3707.611744138779,5,22,1
143,3670.925050062603,5,23,1
144,3752.0793022365383,6,0,1
145,4359.961083931203,6,1,1
146,3882.7939450603685,6,2,1
147,3893.6950780812736,6,3,1
148,3973.062747575316,6,4,1
149,4587.707155266935,6,5,1
150,4058.165818145468,6,6,1
151,3685.9526227745782,6,7,1
152,4175.440152310889,6,8,1
153,4033.343154684248,6,9,1
154,4085.016890386989,6,10,1
155,3932.4233012408945,6,11,1
156,3945.48270611948,6,12,1
157,4312.486834071248,6,13,1
158,4496.7568858427285,6,14,1
159,3895.2434421423513,6,15,1
160,3907.489667010566,6,16,1
161,3952.3797172399245,6,17,1
162,4219.784762151578,6,18,1
163,3718.391674269165,6,19,1
